=== 小牛靠近开机助手 诊断日志 ===
时间段: 2026-09-22 00:00 ~ 2026-09-22 23:59
导出时间: 2026-09-22 21:10:34

=== 当前配置 ===
靠近阈值: -64 dBm
离开阈值: -76 dBm
滞回区间: 12 dB
扫描间隔: 500 ms
连续达标: 3 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974

=== 2026-09-22 ===
17:07:57.044 | RSSI | raw=-55 smooth=-55.0 near=-67 far=-79 consec=1 nearOk=Y farOk=N
17:07:57.048 | TRIGGER | 自动开机 | 已靠近(滤波-55/原始-55, 连续1次)，发送开机...
17:07:57.356 | RSSI | raw=-56 smooth=-55.8 near=-67 far=-79 consec=2 nearOk=Y farOk=N
17:07:57.661 | RSSI | raw=-53 smooth=-53.6 near=-67 far=-79 consec=3 nearOk=Y farOk=N
17:07:57.965 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:07:58.272 | RSSI | raw=-47 smooth=-48.3 near=-67 far=-79 consec=4 nearOk=Y farOk=N
17:07:58.578 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:07:58.885 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:07:59.193 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:07:59.502 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:07:59.815 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:00.121 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:00.430 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:00.737 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:01.041 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:01.343 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:01.645 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:01.952 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:02.259 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:02.562 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:02.871 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:03.175 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:03.479 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:03.781 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:04.089 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:04.398 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:04.709 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:05.013 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:05.319 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:05.626 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:05.938 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:06.244 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
17:08:06.552 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
