=== 小牛靠近开机助手 诊断日志 ===
时间段: 2026-09-19 00:00 ~ 2026-09-19 23:59
导出时间: 2026-09-19 20:26:01

=== 当前配置 ===
靠近阈值: -67 dBm
离开阈值: -79 dBm
滞回区间: 12 dB
扫描间隔: 1100 ms
连续达标: 3 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974

=== 2026-09-19 ===
13:30:38.829 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:39.537 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:40.243 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:40.949 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:41.656 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:42.361 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:43.069 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:43.777 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:44.493 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:45.198 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:45.910 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:46.620 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:47.327 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:48.034 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:48.740 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:49.451 | RSSI | raw=-50 smooth=-50.0 near=-67 far=-79 consec=9 nearOk=Y farOk=N
13:30:50.162 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:50.870 | RSSI | raw=-56 smooth=-54.8 near=-67 far=-79 consec=10 nearOk=Y farOk=N
13:30:51.587 | RSSI | raw=-58 smooth=-57.4 near=-67 far=-79 consec=11 nearOk=Y farOk=N
13:30:52.296 | RSSI | raw=-56 smooth=-56.3 near=-67 far=-79 consec=12 nearOk=Y farOk=N
13:30:53.003 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:53.712 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:54.442 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:55.160 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:55.871 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:56.580 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:57.289 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:57.995 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:58.705 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:30:59.416 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:00.123 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:00.833 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:01.539 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:02.249 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:02.962 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:03.671 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:04.379 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:05.086 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:05.800 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:06.507 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:07.215 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:07.930 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:08.639 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:09.348 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:10.055 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:10.762 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:11.470 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:12.177 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:12.889 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:13.595 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:14.305 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:15.010 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:15.717 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:16.424 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:17.132 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:17.839 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:18.547 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:19.253 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:19.965 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:20.672 | RSSI | raw=-51 smooth=-52.1 near=-67 far=-79 consec=13 nearOk=Y farOk=N
13:31:21.380 | RSSI | raw=-52 smooth=-52.0 near=-67 far=-79 consec=14 nearOk=Y farOk=N
13:31:22.090 | RSSI | raw=-52 smooth=-52.0 near=-67 far=-79 consec=15 nearOk=Y farOk=N
13:31:22.798 | RSSI | raw=-58 smooth=-56.8 near=-67 far=-79 consec=16 nearOk=Y farOk=N
13:31:23.504 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:24.212 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:24.924 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:25.634 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:26.339 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:27.053 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:27.758 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:28.464 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:29.172 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:29.879 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:30.587 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:31.294 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:31.999 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:32.711 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:33.420 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:34.136 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:34.843 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:35.550 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:36.256 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:36.963 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:37.671 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:38.380 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:39.086 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:39.795 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:40.501 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:41.217 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:41.935 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:42.644 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:43.352 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:44.058 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:44.764 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:45.470 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:46.177 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:46.884 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:47.593 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:48.311 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:49.020 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:49.727 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:50.439 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
13:31:51.148 | RSSI | raw=-57 smooth=-57.0 near=-67 far=-79 consec=17 nearOk=Y farOk=N
13:31:51.857 | RSSI | raw=-52 smooth=-53.0 near=-67 far=-79 consec=18 nearOk=Y farOk=N
