=== 小牛靠近开机助手 诊断日志 ===
时间段: 2026-09-14 00:00 ~ 2026-09-16 20:44
导出时间: 2026-09-16 20:44:20

=== 当前配置 ===
靠近阈值: -67 dBm
离开阈值: -79 dBm
滞回区间: 12 dB
扫描间隔: 800 ms
连续达标: 3 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974

=== 2026-09-15 ===
01:50:10.730 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:11.541 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:12.345 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:13.183 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:14.021 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:14.828 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:15.633 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:16.450 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:17.253 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:18.056 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:18.858 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:19.662 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:20.467 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:21.270 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:22.073 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:22.876 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:23.680 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:24.489 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:25.293 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:26.096 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:26.900 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:27.714 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:28.519 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:29.323 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:30.126 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:50:30.928 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:33.591 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:34.396 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:35.199 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:36.005 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:36.811 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:37.616 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:38.420 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:39.223 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:40.030 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:40.843 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:41.647 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:42.450 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:43.255 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:44.060 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
01:52:44.865 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
