=== 小牛靠近开机助手 一键诊断日志 ===
诊断开始: 2026-09-11 19:31:59
诊断时长: 60 秒

=== 当前配置 ===
靠近阈值: -65 dBm
离开阈值: -80 dBm
滞回区间: 15 dB
扫描间隔: 600 ms
连续达标: 1 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974
车辆状态: 已关机

=== 诊断数据（时间 | 类型 | 详情） ===
19:32:44.361 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:44.967 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:45.574 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:46.181 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:46.788 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:47.395 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:48.007 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:48.612 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:49.219 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:49.826 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:50.432 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:51.034 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:51.637 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:52.249 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:52.856 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:53.463 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:54.072 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:54.676 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:55.283 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:55.891 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:56.500 | RSSI | raw=-56 smooth=-56.6 near=-65 far=-80 consec=8 nearOk=Y farOk=N
19:32:57.107 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:57.714 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:58.321 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:58.926 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
19:32:59.129 | DIAG | 诊断记录结束，实际时长 60 秒

=== 诊断结束 ===
实际时长: 60 秒
文件大小: 7081 字节
