=== 小牛靠近开机助手 一键诊断日志 ===
诊断开始: 2026-09-10 18:36:23
诊断时长: 60 秒

=== 当前配置 ===
靠近阈值: -65 dBm
离开阈值: -80 dBm
滞回区间: 15 dB
扫描间隔: 600 ms
连续达标: 1 次
冷却时间: 30 秒
滤波窗口: 3
自动开机: true
自动关机: false
目标MAC: 54:88:FE:42:69:74
目标名称: NIU Link 6974
车辆状态: 已关机

=== 诊断数据（时间 | 类型 | 详情） ===
18:36:23.444 | DIAG | 开始诊断记录，时长 60 秒，文件: diagnostic_20260910_183623.txt
18:36:23.768 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:24.373 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:24.981 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:25.587 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:26.192 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:26.799 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:27.406 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:28.016 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:28.623 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:29.235 | RSSI | raw=-45 smooth=-52.5 near=-65 far=-80 consec=1 nearOk=Y farOk=N
18:36:29.263 | TRIGGER | 自动开机 | 已靠近(滤波-53/原始-45, 连续1次)，发送开机...
18:36:29.879 | RSSI | raw=-53 smooth=-52.9 near=-65 far=-80 consec=2 nearOk=Y farOk=N
18:36:30.485 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:31.090 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:31.697 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:32.305 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:32.910 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:33.513 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
18:36:34.118 | STATE | NO_SIGNAL | 未发现目标 NIU Link 6974
